姓名 高数 Java 数据结构 平均成绩 总成绩
张三52 59 91 36 62 186
张三62 95 41 68 68 204
张三68 94 59 15 56 168
张三24 55 80 24 53 159
张三38 93 87 50 76 230
张三64 31 28 51 36 110
张三0 94 88 15 65 197
张三96 83 7 62 50 152
张三79 87 30 84 67 201
张三16 15 18 83 38 116
张三65 93 44 70 69 207
张三97 22 78 25 41 125
张三65 25 14 9 16 48
张三75 16 49 51 38 116
张三7 24 93 63 60 180
张三86 33 41 34 36 108
张三58 99 33 26 52 158
张三40 57 57 87 67 201
张三74 97 97 45 79 239
张三77 3 93 7 34 103
张三4 67 11 87 55 165
张三19 46 36 68 50 150
张三17 32 71 31 44 134
张三7 1 12 45 19 58
张三25 58 0 57 38 115
张三17 73 70 80 74 223
张三10 75 38 57 56 170
张三53 40 12 95 49 147
张三86 13 98 96 69 207
张三93 41 4 15 20 60
张三58 47 26 94 55 167
张三34 80 36 79 65 195
张三51 65 40 6 37 111
张三31 65 94 27 62 186
张三26 92 54 31 59 177
张三65 43 76 5 41 124
张三1 52 96 70 72 218
张三69 5 83 20 36 108
张三50 50 73 1 41 124
张三86 69 30 38 45 137
张三49 82 58 70 70 210
张三57 65 75 9 49 149
张三78 32 91 90 71 213
张三49 77 80 60 72 217
张三16 10 25 5 13 40
张三75 24 20 94 46 138
张三82 20 47 76 47 143
张三80 75 20 77 57 172
张三1 86 71 67 74 224
张三64 39 93 13 48 145
张三8 61 77 62 66 200
张三95 69 91 29 63 189
张三15 6 30 33 23 69
张三26 75 6 22 34 103
张三0 1 28 36 21 65
张三2 28 78 46 50 152
张三8 37 44 13 31 94
张三44 11 95 35 47 141
张三52 1 63 19 27 83
张三38 41 2 93 45 136
张三62 43 37 9 29 89
张三59 68 39 94 67 201
张三38 96 6 47 49 149
张三11 31 83 74 62 188
张三73 83 54 31 56 168
张三72 18 68 13 33 99
张三75 39 94 37 56 170
张三67 68 99 28 65 195
张三98 18 21 29 22 68
张三6 11 93 39 47 143
张三58 83 58 91 77 232
张三62 30 5 69 34 104
张三0 81 77 78 78 236
张三86 86 26 89 67 201
张三31 56 6 81 47 143
张三66 65 61 28 51 154
张三50 61 16 75 50 152
张三87 0 26 4 10 30
张三28 62 55 70 62 187
张三58 8 14 41 21 63
张三26 47 6 99 50 152
张三93 36 29 86 50 151
张三49 85 43 18 48 146
张三72 92 85 36 71 213
张三76 93 30 78 67 201
张三28 34 11 44 29 89
张三14 18 0 24 14 42
张三21 12 18 60 30 90
张三71 32 84 12 42 128
张三0 4 26 22 17 52
张三40 89 1 51 47 141
张三70 91 31 13 45 135
张三28 16 7 15 12 38
张三8 54 86 45 61 185
张三4 18 76 85 59 179
张三97 93 23 25 47 141
张三19 16 71 7 31 94
张三71 1 16 38 18 55
张三30 68 0 82 50 150
张三97 41 94 27 54 162
张三46 25 95 23 47 143
张三22 8 38 68 38 114
张三55 28 38 46 37 112
张三77 80 15 74 56 169
张三17 40 29 77 48 146
张三10 87 45 58 63 190
张三25 88 78 95 87 261
张三87 45 6 64 38 115
张三70 43 51 41 45 135
张三81 42 1 22 21 65
张三66 54 12 61 42 127
张三50 77 73 4 51 154
张三9 51 40 75 55 166
张三64 74 21 74 56 169
张三91 41 9 72 40 122
张三28 38 52 71 53 161
张三85 81 64 80 75 225
张三28 16 90 57 54 163
张三73 14 31 72 39 117
张三78 81 5 25 37 111
张三86 74 39 94 69 207
张三56 51 54 49 51 154
张三64 17 48 25 30 90
张三54 17 27 16 20 60
张三81 32 7 14 17 53
张三81 41 52 84 59 177
张三72 28 91 52 57 171
张三94 33 6 38 25 77
张三62 18 83 67 56 168
张三42 43 22 53 39 118
张三86 19 4 56 26 79
张三53 8 98 82 62 188
张三48 73 17 95 61 185
张三3 45 46 22 37 113
张三66 38 36 81 51 155
张三27 85 45 35 55 165
张三83 92 34 2 42 128
张三91 80 67 22 56 169
张三65 88 31 49 56 168
张三11 39 11 77 42 127
张三93 11 87 1 33 99
张三96 64 49 67 60 180
张三35 46 59 46 50 151
张三56 97 72 25 64 194
张三49 63 77 35 58 175
张三92 7 7 38 17 52
张三55 60 46 75 60 181
张三67 58 9 75 47 142
张三76 40 0 96 45 136
张三20 55 80 91 75 226
张三38 92 41 62 65 195
张三82 61 60 89 70 210
张三73 23 55 10 29 88
张三87 5 78 40 41 123
张三71 47 82 30 53 159
张三6 60 80 82 74 222
张三79 26 76 28 43 130
张三35 40 60 57 52 157
张三29 38 4 22 21 64
张三25 43 57 53 51 153
张三53 94 34 82 70 210
张三24 49 3 53 35 105
张三20 41 45 98 61 184
张三70 51 32 20 34 103
张三96 24 50 43 39 117
张三74 66 87 68 73 221
张三8 88 93 71 84 252
张三58 57 78 91 75 226
张三82 46 91 49 62 186
张三40 83 81 49 71 213
张三63 46 22 33 33 101
张三95 29 87 46 54 162
张三47 12 70 30 37 112
张三32 96 40 37 57 173
张三91 35 85 3 41 123
张三48 60 11 52 41 123
张三71 53 27 6 28 86
张三68 19 4 31 18 54
张三95 34 89 74 65 197
张三76 90 9 89 62 188
张三22 51 24 86 53 161
张三86 28 11 80 39 119
张三9 25 21 84 43 130
张三36 76 54 12 47 142
张三3 64 7 26 32 97
张三69 73 2 36 37 111
张三62 24 65 79 56 168
张三49 68 45 16 43 129
张三45 76 94 8 59 178
张三43 29 56 40 41 125
张三27 52 63 5 40 120
张三37 36 75 48 53 159
张三15 2 22 62 28 86
张三85 8 3 73 28 84
张三87 89 74 87 83 250
张三12 90 6 17 37 113
张三65 5 26 13 14 44
张三3 5 75 31 37 111
张三93 75 73 49 65 197
张三61 57 99 45 67 201
张三97 87 76 78 80 241
张三24 17 30 77 41 124
张三36 86 45 3 44 134
张三55 57 56 25 46 138
张三70 77 37 78 64 192
张三56 88 16 7 37 111
张三10 61 25 94 60 180
张三69 30 13 17 20 60
张三21 92 2 6 33 100
张三63 26 14 96 45 136
张三97 9 29 9 15 47
张三26 59 42 50 50 151
张三30 11 36 8 18 55
张三1 52 6 59 39 117
张三32 56 34 37 42 127
张三44 49 9 61 39 119
张三96 8 0 23 10 31
张三82 17 38 94 49 149
张三96 77 45 2 41 124
张三18 4 38 45 29 87
张三62 98 79 29 68 206
张三90 52 1 36 29 89
张三87 73 15 39 42 127
张三93 53 36 36 41 125
张三45 50 98 56 68 204
张三22 85 2 90 59 177
张三25 29 49 51 43 129
张三82 78 17 98 64 193
张三21 9 40 2 17 51
张三94 90 67 87 81 244
张三24 13 62 1 25 76
张三71 95 91 58 81 244
张三9 80 44 14 46 138
张三60 11 17 8 12 36
张三6 64 27 89 60 180
张三65 29 53 40 40 122
张三14 31 17 71 39 119
张三0 6 86 35 42 127
张三83 11 61 63 45 135
张三31 45 30 37 37 112
张三72 52 16 39 35 107
张三21 71 16 68 51 155
张三74 92 17 18 42 127
张三72 75 39 91 68 205
张三45 32 53 25 36 110
张三28 89 82 72 81 243
张三95 98 14 25 45 137
张三1 3 96 17 38 116
张三21 94 63 92 83 249
张三8 55 2 89 48 146
张三84 14 55 48 39 117
张三52 39 37 19 31 95
张三74 48 93 92 77 233
张三78 22 76 77 58 175
张三1 96 3 97 65 196
张三81 54 88 62 68 204
张三16 1 66 50 39 117
张三57 27 9 22 19 58
张三51 31 39 60 43 130
张三13 7 51 32 30 90
张三14 89 54 60 67 203
张三94 41 65 65 57 171
张三0 40 70 75 61 185
张三72 30 40 52 40 122
张三0 62 29 42 44 133
张三19 97 0 12 36 109
张三3 70 29 87 62 186
张三60 9 25 90 41 124
张三43 85 27 11 41 123
张三60 33 28 54 38 115
张三24 17 22 35 24 74
张三21 15 35 14 21 64
张三22 7 89 0 32 96
张三68 27 74 74 58 175
张三72 44 65 29 46 138
张三53 34 64 46 48 144
张三48 38 7 96 47 141
张三21 43 50 62 51 155
张三29 35 67 59 53 161
张三2 57 38 68 54 163
张三96 87 58 40 61 185
张三30 58 18 9 28 85
张三97 31 10 88 43 129
张三2 57 83 11 50 151
张三87 18 39 26 27 83
张三24 17 82 26 41 125
张三24 15 68 83 55 166
张三10 25 57 10 30 92
张三74 66 84 70 73 220
张三40 59 65 30 51 154
张三63 75 22 28 41 125
张三73 3 80 39 40 122
张三81 67 95 85 82 247
张三88 70 15 52 45 137
张三10 12 25 73 36 110
张三93 69 29 9 35 107
张三50 49 41 13 34 103
张三24 10 92 24 42 126
张三61 27 48 64 46 139
张三29 25 33 46 34 104
张三32 41 79 75 65 195
张三97 70 89 79 79 238
张三59 56 85 17 52 158
张三95 25 29 35 29 89
张三92 34 41 68 47 143
张三5 99 32 32 54 163
张三67 89 42 68 66 199
张三91 18 23 46 29 87
张三60 69 45 86 66 200
张三21 58 15 78 50 151
张三9 21 73 58 50 152
张三35 31 6 14 17 51
张三90 79 71 87 79 237
张三35 53 16 62 43 131
张三57 2 12 10 8 24
张三27 52 82 16 50 150
张三71 43 57 83 61 183
张三58 86 38 74 66 198
张三82 16 46 33 31 95
张三9 75 43 97 71 215
张三39 9 62 79 50 150
张三49 89 42 15 48 146
张三40 50 87 17 51 154
张三64 28 65 86 59 179
张三49 25 57 27 36 109
张三2 80 7 86 57 173
张三37 6 80 54 46 140
张三9 67 43 70 60 180
张三40 35 71 42 49 148
张三50 93 66 47 68 206
张三17 90 14 57 53 161
张三25 62 49 53 54 164
张三67 89 70 18 59 177
张三38 35 85 2 40 122
张三38 52 73 1 42 126
张三79 34 37 75 48 146
张三26 8 97 16 40 121
张三11 19 15 53 29 87
张三64 4 79 55 46 138
张三92 96 56 18 56 170
张三34 78 31 56 55 165
张三64 24 77 75 58 176
张三51 82 82 49 71 213
张三88 40 23 65 42 128
张三19 87 20 65 57 172
张三12 21 32 71 41 124
张三45 89 45 24 52 158
张三94 30 98 53 60 181
张三55 95 31 42 56 168
张三28 41 81 39 53 161
张三70 83 72 16 57 171
张三28 37 22 77 45 136
张三8 45 65 79 63 189
张三90 2 44 19 21 65
张三42 52 29 29 36 110
张三21 82 53 88 74 223
张三26 12 98 89 66 199
张三2 69 72 58 66 199
张三58 19 9 36 21 64
张三42 28 66 39 44 133
张三48 89 86 4 59 179
张三24 92 47 50 63 189
张三18 46 93 72 70 211
张三56 70 59 28 52 157
张三47 8 94 68 56 170
张三75 62 1 96 53 159
张三24 71 57 57 61 185
张三74 73 10 91 58 174
张三94 10 86 1 32 97
张三43 51 29 36 38 116
张三3 28 65 4 32 97
张三45 21 43 88 50 152
张三64 32 44 71 49 147
张三71 69 26 9 34 104
张三17 13 16 65 31 94
张三42 2 60 40 34 102
张三50 59 49 20 42 128
张三52 99 10 76 61 185
张三96 32 80 58 56 170
张三80 6 62 61 43 129
张三33 85 85 8 59 178
张三93 65 69 72 68 206
张三49 95 78 32 68 205
张三39 66 43 38 49 147
张三48 44 9 9 20 62
张三94 63 4 28 31 95
张三7 83 56 15 51 154
张三12 99 79 6 61 184
张三13 39 42 22 34 103
张三93 25 89 17 43 131
张三42 69 8 93 56 170
张三59 5 84 78 55 167
张三54 56 33 41 43 130
张三28 57 19 69 48 145
张三15 19 84 85 62 188
张三91 57 61 60 59 178
张三83 69 30 31 43 130
张三63 5 90 10 35 105
张三1 29 53 40 40 122
张三48 48 22 26 32 96
张三91 20 38 71 43 129
张三34 88 63 75 75 226
张三49 55 48 23 42 126
张三24 34 1 80 38 115
张三77 13 79 96 62 188
张三56 66 51 41 52 158
张三9 78 70 45 64 193
张三75 30 40 72 47 142
张三98 64 30 13 35 107
张三50 77 97 33 69 207
张三0 58 71 60 63 189
张三69 9 66 6 27 81
张三56 66 83 13 54 162
张三32 6 77 49 44 132
张三48 24 91 14 43 129
张三35 42 32 3 25 77
张三4 22 64 50 45 136
张三23 17 90 67 58 174
张三57 55 84 68 69 207
张三41 50 68 51 56 169
张三94 84 81 30 65 195
张三21 28 78 63 56 169
张三52 95 95 57 82 247
张三75 99 81 10 63 190
张三34 60 35 57 50 152
张三92 46 21 5 24 72
张三62 61 21 42 41 124
张三56 95 66 12 57 173
张三97 27 53 90 56 170
张三23 33 76 75 61 184
张三71 83 25 85 64 193
张三43 37 74 9 40 120
张三34 20 89 60 56 169
张三96 52 87 55 64 194
张三1 38 38 17 31 93
张三86 61 84 15 53 160
张三42 17 46 97 53 160
张三22 30 32 37 33 99
张三74 15 11 38 21 64
张三61 38 35 99 57 172
张三28 1 65 17 27 83
张三1 2 49 14 21 65
张三5 74 57 99 76 230
张三54 76 62 74 70 212
张三42 26 31 12 23 69
张三34 79 99 78 85 256
张三67 41 36 27 34 104
张三30 69 89 32 63 190
张三94 51 55 17 41 123
张三63 90 0 4 31 94
张三92 88 39 26 51 153
张三44 42 29 80 50 151
张三41 87 70 65 74 222
张三72 53 4 50 35 107
张三43 55 11 16 27 82
张三49 59 41 19 39 119
张三67 98 95 18 70 211
张三3 18 50 27 31 95
张三23 59 73 58 63 190
张三36 15 95 20 43 130
张三23 32 23 99 51 154
张三42 34 49 0 27 83
张三53 39 85 13 45 137
张三71 94 91 55 80 240
张三67 95 75 93 87 263
张三17 97 50 50 65 197
张三88 88 2 84 58 174
张三71 15 83 13 37 111
张三59 55 73 41 56 169
张三63 19 41 66 42 126
张三2 29 78 97 68 204
张三73 36 68 73 59 177
张三56 96 82 16 64 194
张三5 74 29 9 37 112
张三12 71 61 61 64 193
张三39 58 70 72 66 200
张三68 95 74 89 86 258
张三6 68 49 94 70 211
张三70 9 36 67 37 112
张三60 72 90 18 60 180
张三10 54 58 67 59 179
张三30 87 61 48 65 196
张三94 8 54 72 44 134
张三91 18 60 99 59 177
张三12 51 31 33 38 115
张三71 66 75 87 76 228
张三64 29 16 15 20 60
张三88 84 50 47 60 181
张三28 48 94 55 65 197
张三98 39 58 71 56 168
张三64 35 42 17 31 94
张三76 9 86 92 62 187
张三7 18 96 94 69 208
张三71 10 69 73 50 152
张三85 46 90 22 52 158
张三15 43 25 62 43 130
张三56 30 39 81 50 150
张三64 3 85 28 38 116
张三68 75 66 16 52 157
张三4 93 29 90 70 212
张三68 49 1 96 48 146
张三60 30 49 1 26 80
张三25 98 79 85 87 262
张三75 35 11 56 34 102
张三44 0 39 13 17 52
张三62 48 3 24 25 75
张三78 24 91 54 56 169
张三33 14 68 35 39 117
张三73 41 99 52 64 192
张三69 24 58 63 48 145
张三92 90 9 64 54 163
张三80 3 86 90 59 179
张三19 4 4 92 33 100
张三66 92 34 49 58 175
张三25 53 76 35 54 164
张三85 57 48 61 55 166
张三52 46 51 89 62 186
张三83 23 45 37 35 105
张三57 15 96 57 56 168
张三43 20 93 0 37 113
张三94 62 91 62 71 215
张三67 79 53 36 56 168
张三58 39 66 73 59 178
张三78 32 87 7 42 126
张三7 12 16 82 36 110
张三25 85 66 59 70 210
张三21 0 47 95 47 142
张三30 85 50 15 50 150
张三93 13 22 25 20 60
张三80 83 6 48 45 137
张三33 24 19 1 14 44
张三92 81 89 61 77 231
张三47 40 87 29 52 156
张三86 7 16 19 14 42
张三19 68 99 70 79 237
张三32 43 86 17 48 146
张三5 92 21 19 44 132
张三76 34 47 81 54 162
张三18 88 39 4 43 131
张三57 17 97 16 43 130
张三58 72 34 36 47 142
张三59 64 78 77 73 219
张三35 37 73 79 63 189
张三70 34 2 14 16 50
张三61 27 74 25 42 126
张三41 69 12 99 60 180
张三27 63 57 86 68 206
张三64 73 66 67 68 206
张三95 5 83 40 42 128
张三13 76 9 16 33 101
张三56 35 55 2 30 92
张三15 62 55 40 52 157
张三40 69 23 97 63 189
张三52 13 2 92 35 107
张三84 59 18 52 43 129
张三4 96 58 21 58 175
张三92 28 19 49 32 96
张三87 97 38 6 47 141
张三37 41 6 98 48 145
张三42 91 68 83 80 242
张三93 32 75 14 40 121
张三86 80 6 60 48 146
张三2 20 5 20 15 45
张三28 49 67 38 51 154
张三7 78 6 10 31 94
张三5 32 98 1 43 131
张三3 58 91 28 59 177
张三3 67 67 40 58 174
张三2 76 42 61 59 179
张三54 97 41 18 52 156
张三99 4 81 58 47 143
张三39 48 64 92 68 204
张三87 34 46 0 26 80
张三26 73 79 61 71 213
张三70 3 38 5 15 46
张三27 64 40 89 64 193
张三52 1 6 37 14 44
张三52 64 16 31 37 111
张三24 92 61 42 65 195
张三0 18 75 66 53 159
张三59 25 47 43 38 115
张三7 66 7 96 56 169
张三89 27 22 67 38 116
张三47 55 21 92 56 168
张三39 75 5 80 53 160
张三47 22 24 73 39 119
张三25 13 3 46 20 62
张三74 79 74 59 70 212
张三44 69 29 55 51 153
张三0 2 50 38 30 90
张三23 54 66 77 65 197
张三48 10 5 22 12 37
张三96 78 45 24 49 147
张三81 64 63 6 44 133
张三27 6 31 51 29 88
张三87 54 5 31 30 90
张三99 31 47 10 29 88
张三70 32 44 33 36 109
张三39 55 81 42 59 178
张三42 13 76 16 35 105
张三46 85 45 80 70 210
张三3 58 72 91 73 221
张三46 94 79 81 84 254
张三15 2 36 65 34 103
张三84 13 44 30 29 87
张三37 3 48 65 38 116
张三33 34 17 68 39 119
张三72 13 74 50 45 137
张三82 54 90 37 60 181
张三24 99 1 22 40 122
张三20 96 61 64 73 221
张三96 78 24 55 52 157
张三50 68 27 6 33 101
张三51 29 24 1 18 54
张三77 54 47 27 42 128
张三30 91 77 41 69 209
张三67 62 31 96 63 189
张三1 89 98 80 89 267
张三71 52 62 19 44 133
张三66 16 19 21 18 56
